,California,Central,Florida,MidAtlantic,MidwestN,MidwestS,Mountain,Northeast,Northwest,Southeast,Texas
California,0.0,2039.7657263345345,3620.1575951756854,3613.952149841309,2781.8993155205685,2600.2303179978485,846.6409498978205,4049.674384272675,1220.78507556258,3285.9705326992307,2120.4405298353277
Central,2039.7657263345345,0.0,1811.0734317286617,1580.4695299207715,797.9269475578703,873.531550546993,1193.8871477451214,2045.2797413474102,2176.3228168160995,1296.2878975454769,880.1273771268193
Florida,3620.1575951756854,1811.0734317286617,0.0,1331.461705796631,1631.314706397754,1026.2674038197265,2822.583874116479,1748.17009239139,3982.9815472477376,721.8786694373366,1521.249482059346
MidAtlantic,3613.952149841309,1580.4695299207715,1331.461705796631,0.0,860.8234047083142,1447.3574669135642,2771.3069693221933,528.292520411855,3521.671310631494,719.0273797420175,1974.3747244354702
MidwestN,2781.8993155205685,797.9269475578703,1631.314706397754,860.8234047083142,0.0,1115.7630117143353,1950.2080484502678,1268.2145633243872,2670.4146854589103,926.9721429043406,1465.7023560806292
MidwestS,2600.2303179978485,873.531550546993,1026.2674038197265,1447.3574669135642,1115.7630117143353,0.0,1796.3231919904017,1975.5987227491835,2992.0892899845953,815.4594413891164,569.388953548089
Mountain,846.6409498978205,1193.8871477451214,2822.583874116479,2771.3069693221933,1950.2080484502678,1796.3231919904017,0.0,3217.8485323013474,1380.666290651722,2445.948692453582,1378.783118031432
Northeast,4049.674384272675,2045.2797413474102,1748.17009239139,528.292520411855,1268.2145633243872,1975.5987227491835,3217.8485323013474,0.0,3831.3203333129477,1225.4260882282435,2499.990883111874
Northwest,1220.78507556258,2176.3228168160995,3982.9815472477376,3521.671310631494,2670.4146854589103,2992.0892899845953,1380.666290651722,3831.3203333129477,0.0,3448.2974074547337,2693.0666774114106
Southeast,3285.9705326992307,1296.2878975454769,721.8786694373366,719.0273797420175,926.9721429043406,815.4594413891164,2445.948692453582,1225.4260882282435,3448.2974074547337,0.0,1381.6996811388685
Texas,2120.4405298353277,880.1273771268193,1521.249482059346,1974.3747244354702,1465.7023560806292,569.388953548089,1378.783118031432,2499.990883111874,2693.0666774114106,1381.6996811388685,0.0
