,transcost_ac_annual,cap_pv,cap_wind,cap_vre,transcost_adder_MUSD_per_GW_yr
California,0.0,82.0017885559049,150.13912431975604,232.14091287566094,0.0
Northwest,273.2324916116906,72.52206944845389,42.36315865492725,114.88522810338114,2.3783083005747123
Mountain,692.6428201570435,71.54653310839144,90.74123211745425,162.2877652258457,4.267991608567263
Texas,0.0,154.2531287458514,184.88776111722524,339.1408898630766,0.0
Central,392.84472629354076,40.188955893026005,61.861915509804064,102.05087140283007,3.849498989017417
MidwestN,1605.3719317812686,166.5858171908529,281.0161942901144,447.60201148096735,3.5866057135659926
MidwestS,318.82444235086035,97.33571345252463,46.73416026165667,144.0698737141813,2.2129848116850077
Southeast,702.9519362469853,214.73530434392057,215.94622448860974,430.6815288325303,1.6321850118636658
Florida,0.0,124.01366249191564,76.2782551290484,200.29191762096406,0.0
MidAtlantic,1104.710177215164,295.89111281095563,284.6204166731764,580.5115294841321,1.902994378418044
Northeast,286.3440438810864,83.58663857048913,103.24005889996718,186.8266974704563,1.5326719776030253
